judul,cleaned_judul,topic
Improved baselines with visual instruction tuning,improved baseline visual instruction tuning,-1
Scaling instruction-finetuned language models,scaling instructionfinetuned language model,0
Accurate structure prediction of biomolecular interactions with AlphaFold 3,accurate structure prediction biomolecular interaction alphafold,-1
A survey on evaluation of large language models,survey evaluation large language model,0
Non-cooperative games,noncooperative game,1
"Methods of mathematical physics, volume 2",method mathematical physic volume,-1
"The Fourth Industrial Revolution: what it means, how to respond1",fourth industrial revolution mean respond,1
Nonlinear oscillations,nonlinear oscillation,3
The society of the spectacle,society spectacle,1
Wireless communications: principles and practice,wireless communication principle practice,5
The gift: The form and reason for exchange in archaic societies,gift form reason exchange archaic society,4
Art as experience,art experience,1
Balanis' Advanced Engineering Electromagnetics,balanis advanced engineering electromagnetics,3
Geotechnical earthquake engineering,geotechnical earthquake engineering,3
The pure theory of public expenditure,pure theory public expenditure,4
"Capital: Critique of Political Economy, Volume 1",capital critique political economy volume,-1
A Discourse,discourse,1
Health measurement scales: a practical guide to their development and use,health measurement scale practical guide development use,-1
Powers of horror: An essay on abjection,power horror essay abjection,1
Models of teaching,model teaching,-1
Navier–Stokes equations: theory and numerical analysis,navier–stokes equation theory numerical analysis,3
Ideology and ideological state apparatuses: Notes towards an investigation,ideology ideological state apparatus note towards investigation,4
Cognitive therapy of depression,cognitive therapy depression,0
Social capital: Its origins and applications in modern sociology,social capital origin application modern sociology,4
Friction: An ethnography of global connection,friction ethnography global connection,5
Thematic analysis,thematic analysis,5
Multivariate analysis,multivariate analysis,3
Denial of death,denial death,1
"Epistemology of the closet, Updated with a new preface",epistemology closet updated new preface,1
Democracy and education,democracy education,4
Stability in Competition1,stability competition,1
Statistical inference,statistical inference,-1
Discovering statistics using IBM SPSS statistics,discovering statistic using ibm spss statistic,0
"Educational research: Quantitative, qualitative, and mixed approaches",educational research quantitative qualitative mixed approach,-1
"Qualitative research methods: Collecting evidence, crafting analysis, communicating impact",qualitative research method collecting evidence crafting analysis communicating impact,-1
Formal concept analysis: mathematical foundations,formal concept analysis mathematical foundation,3
Perturbation methods,perturbation method,3
Minimal information for studies of extracellular vesicles (MISEV2023): From basic to advanced approaches,minimal information study extracellular vesicle misev basic advanced approach,-1
A treatise on money: the pure theory of money,treatise money pure theory money,4
Existence of an equilibrium for a competitive economy,existence equilibrium competitive economy,4
Chatting and cheating: Ensuring academic integrity in the era of ChatGPT,chatting cheating ensuring academic integrity era chatgpt,0
Metaphysics of morals,metaphysics moral,4
Theses on feuerbach,thesis feuerbach,1
Analysis and design of analog integrated circuits,analysis design analog integrated circuit,3
Segment anything in medical images,segment anything medical image,1
Ionization in the field of a strong electromagnetic wave,ionization field strong electromagnetic wave,3
Revolution in poetic language,revolution poetic language,1
Grounding dino: Marrying dino with grounded pre-training for open-set object detection,grounding dino marrying dino grounded pretraining openset object detection,0
Radiative processes in astrophysics,radiative process astrophysics,3
"A phase 3, randomized, controlled trial of resmetirom in NASH with liver fibrosis",phase randomized controlled trial resmetirom nash liver fibrosis,2
Foundations of machine learning,foundation machine learning,1
Yolov9: Learning what you want to learn using programmable gradient information,yolov learning want learn using programmable gradient information,0
Biochemistry (-2024),biochemistry,-1
Lost in the middle: How language models use long contexts,lost middle language model use long context,0
Detrs beat yolos on real-time object detection,detrs beat yolos realtime object detection,0
Dependency and development in Latin America,dependency development latin america,4
Numerical methods for least squares problems,numerical method least square problem,3
How to conduct surveys: A step-by-step guide,conduct survey stepbystep guide,0
Fluid mechanics,fluid mechanic,-1
Global cancer statistics 2022: GLOBOCAN estimates of incidence and mortality worldwide for 36 cancers in 185 countries,global cancer statistic globocan estimate incidence mortality worldwide cancer country,2
Identifying and mitigating vulnerabilities in llm-integrated applications,identifying mitigating vulnerability llmintegrated application,0
Poetics of relation,poetics relation,4
"Black holes, white dwarfs and neutron stars: the physics of compact objects",black hole white dwarf neutron star physic compact object,3
